,h,T,M,Lambda_lhs,s
402,-16873.31441,35514295.68,761000,6.80E-05,0.000669937
403,-2397.01486,38909655.34,764000,6.85E-05,0.000727986
404,-13995.92539,44786336.7,764000,6.85E-05,0.00082759
405,-10742.19267,29978508.98,765000,6.87E-05,0.00057681
406,-21528.79585,44733210.79,765000,6.87E-05,0.00082689
407,-8006.860656,26616320.06,768000,6.91E-05,0.000520224
408,-15385.13651,39015054.7,768000,6.92E-05,0.000730472
409,-13652.79427,17568086.03,769000,6.94E-05,0.000367164
410,-27875.63569,23017977.22,769000,6.93E-05,0.000459435
411,-4505.991102,42062186.05,772000,7.00E-05,0.000782918
412,-21771.07767,30800177.37,772000,6.98E-05,0.000591837
413,-2772.608017,37196453.32,775000,7.04E-05,0.000700848
414,-3287.564215,14134167.45,776000,7.05E-05,0.000310062
415,-31802.07403,32664956.84,774000,7.01E-05,0.000623743
416,-31511.85585,27140448.83,775000,7.03E-05,0.000530308
417,-28932.19862,26262452.14,776000,7.05E-05,0.000515626
418,-3701.137553,36399310.04,780000,7.12E-05,0.000688137
419,-23245.2641,39997689.42,779000,7.10E-05,0.000748927
420,-24365.71958,7666679.972,780000,7.12E-05,0.000201144
421,-3812.706264,39953839.22,783000,7.18E-05,0.000748984
422,-13005.60274,47745861.24,783000,7.18E-05,0.000881052
423,-4692.867221,12141920.37,785000,7.21E-05,0.000277895
424,-30866.48061,4683189.519,783000,7.18E-05,0.000151176
425,-7532.877022,41705224.91,787000,7.24E-05,0.000779268
426,-6497.207221,595740.0523,788000,7.27E-05,8.28E-05
427,-10043.90526,27585869.81,789000,7.28E-05,0.000540357
428,-9045.065973,47686481.11,790000,7.30E-05,0.000881245
429,-12204.98828,6033611.352,791000,7.31E-05,0.000175365
430,-24269.32546,28240793.1,790000,7.30E-05,0.000551658
431,-4723.148794,29757064.15,794000,7.36E-05,0.000577957
432,-11210.8706,13694047.18,794000,7.36E-05,0.000305702
433,-22618.66932,31803252.05,794000,7.36E-05,0.000612638
434,-27485.00515,25733096.49,794000,7.37E-05,0.000509854
435,-16189.52704,32574077.86,797000,7.41E-05,0.000626203
436,-28537.97619,7266399.291,796000,7.40E-05,0.000197159
437,-12077.93206,5267372.437,799000,7.45E-05,0.000163777
